year,driver_name_champion,points,driver_name_highest_win_pct,win_percentage,same_driver,champion_dnf_pct,highest_win_pct_dnf,era,poles_x,driver_name,poles_y
2008,Lewis Hamilton,98.0,Felipe Massa,33.33333333333333,False,5.555555555555555,11.11111111111111,Modern Era (2000+),7.0,Lewis Hamilton,7.0
2007,Kimi Räikkönen,110.0,Kimi Räikkönen,35.294117647058826,True,11.76470588235294,11.76470588235294,Modern Era (2000+),3.0,Kimi Räikkönen,3.0
2006,Fernando Alonso,134.0,Fernando Alonso,38.88888888888889,True,11.11111111111111,11.11111111111111,Modern Era (2000+),6.0,Fernando Alonso,6.0
2005,Fernando Alonso,133.0,Fernando Alonso,36.84210526315789,True,10.526315789473683,10.526315789473683,Modern Era (2000+),6.0,Fernando Alonso,6.0
2004,Michael Schumacher,148.0,Michael Schumacher,72.22222222222221,True,5.555555555555555,5.555555555555555,Modern Era (2000+),8.0,Michael Schumacher,8.0
2003,Michael Schumacher,93.0,Michael Schumacher,37.5,True,6.25,6.25,Modern Era (2000+),5.0,Michael Schumacher,5.0
2002,Michael Schumacher,144.0,Michael Schumacher,64.70588235294117,True,0.0,0.0,Modern Era (2000+),7.0,Michael Schumacher,7.0
2001,Michael Schumacher,123.0,Michael Schumacher,52.94117647058824,True,11.76470588235294,11.76470588235294,Modern Era (2000+),11.0,Michael Schumacher,11.0
2000,Michael Schumacher,108.0,Michael Schumacher,52.94117647058824,True,23.52941176470588,23.52941176470588,Modern Era (2000+),9.0,Michael Schumacher,9.0
1999,Mika Häkkinen,76.0,Mika Häkkinen,31.25,True,31.25,31.25,Historic Era (1950-1999),11.0,Mika Häkkinen,11.0
1998,Mika Häkkinen,100.0,Mika Häkkinen,50.0,True,18.75,18.75,Historic Era (1950-1999),9.0,Mika Häkkinen,9.0
1997,Jacques Villeneuve,81.0,Jacques Villeneuve,41.17647058823529,True,35.294117647058826,35.294117647058826,Historic Era (1950-1999),10.0,Jacques Villeneuve,10.0
1996,Damon Hill,97.0,Damon Hill,50.0,True,25.0,25.0,Historic Era (1950-1999),9.0,Damon Hill,9.0
1995,Michael Schumacher,102.0,Michael Schumacher,52.94117647058824,True,23.52941176470588,23.52941176470588,Historic Era (1950-1999),4.0,Michael Schumacher,4.0
1994,Michael Schumacher,92.0,Michael Schumacher,57.14285714285714,True,28.57142857142857,28.57142857142857,Historic Era (1950-1999),6.0,Michael Schumacher,6.0
1993,Alain Prost,99.0,Alain Prost,43.75,True,6.25,6.25,Historic Era (1950-1999),13.0,Alain Prost,13.0
1992,Nigel Mansell,108.0,Nigel Mansell,56.25,True,25.0,25.0,Historic Era (1950-1999),14.0,Nigel Mansell,14.0
1990,Ayrton Senna,78.0,Ayrton Senna,37.5,True,25.0,25.0,Historic Era (1950-1999),10.0,Ayrton Senna,10.0
1991,Ayrton Senna,96.0,Ayrton Senna,43.75,True,6.25,6.25,Historic Era (1950-1999),8.0,Ayrton Senna,8.0
1989,Alain Prost,76.0,Ayrton Senna,37.5,False,18.75,43.75,Historic Era (1950-1999),2.0,Alain Prost,2.0
1988,Ayrton Senna,90.0,Ayrton Senna,50.0,True,12.5,12.5,Historic Era (1950-1999),13.0,Ayrton Senna,13.0
1987,Nelson Piquet,73.0,Nigel Mansell,40.0,False,18.75,33.33333333333333,Historic Era (1950-1999),4.0,Nelson Piquet,4.0
1986,Alain Prost,72.0,Nigel Mansell,31.25,False,18.75,25.0,Historic Era (1950-1999),1.0,Alain Prost,1.0
1985,Alain Prost,73.0,Alain Prost,31.25,True,25.0,25.0,Historic Era (1950-1999),2.0,Alain Prost,2.0
1984,Niki Lauda,72.0,Alain Prost,43.75,False,37.5,31.25,Historic Era (1950-1999),0.0,,
1983,Nelson Piquet,59.0,Alain Prost,26.666666666666668,False,26.666666666666668,20.0,Historic Era (1950-1999),1.0,Nelson Piquet,1.0
1982,Keke Rosberg,44.0,Didier Pironi,16.666666666666664,False,26.666666666666668,25.0,Historic Era (1950-1999),1.0,Keke Rosberg,1.0
1981,Nelson Piquet,50.0,Alain Prost,20.0,False,26.666666666666668,60.0,Historic Era (1950-1999),4.0,Nelson Piquet,4.0
1980,Alan Jones,67.0,Alan Jones,35.714285714285715,True,21.428571428571427,21.428571428571427,Historic Era (1950-1999),3.0,Alan Jones,3.0
1979,Jody Scheckter,51.0,Alan Jones,26.666666666666668,False,13.333333333333334,46.666666666666664,Historic Era (1950-1999),1.0,Jody Scheckter,1.0
1978,Mario Andretti,64.0,Mario Andretti,37.5,True,25.0,25.0,Historic Era (1950-1999),8.0,Mario Andretti,8.0
